estimator,q,balanced_accuracy,accuracy,nll,brier,auroc,runtime_seconds,source_path
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w60_40,100,0.7874015564156269,0.8159672606539463,0.4462207849246897,0.1321474407018056,0.8847484251827986,0.5609123878124365,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w60_40,100,0.78739826136039,0.8159725140791796,0.4462214182397654,0.1321477486502907,0.8847443351780196,0.5876496516873999,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w60_40,100,0.7873768696278011,0.8157203496679836,0.4456460750745955,0.131938183808226,0.8830431454139269,0.420493623687463,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp200_twopl_hybrid_w60_40,100,0.7873768696278011,0.8157203496679836,0.4456458538034687,0.1319381057234437,0.8830430562433567,0.4188756704375578,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp200_twopl_hybrid_w60_40,100,0.7873658432815382,0.8152895687988568,0.4463647972059001,0.1321979985817124,0.8840327350103765,0.5718734951875035,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w60_40,100,0.7873367018227595,0.8152370345465243,0.446371389278635,0.1322005690930476,0.8839408345859723,0.5850838678123864,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w60_40,100,0.7872965126663986,0.8156625619904178,0.4456690192956506,0.1319485194227842,0.8829592985704149,0.4227474409999843,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w60_40,100,0.7871575819969312,0.8156520551399512,0.4459145344832858,0.1320240719781552,0.8829807655565499,0.4224803992500199,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t030_rp100/grouped_residual_irt_summary.csv
twopl_irt_online_baseline,100,0.7871384470197003,0.8152160208455913,0.4524410087677072,0.1327517526224255,0.8826474266937375,0.4350845914999866,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w60_40,100,0.7871306964080373,0.8156730688408842,0.4458833035751948,0.1320121374179293,0.8829332422592335,0.4231384036875738,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w60_40,100,0.7871306964080373,0.8156730688408842,0.4458831284430158,0.1320120763825861,0.8829341494402504,0.4205137221875361,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w80_20,100,0.7866668040660106,0.8172858703874927,0.4449679155133391,0.1320080153409898,0.8847484251827986,0.5698728357499476,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w80_20,100,0.7866630060676372,0.8172753635370261,0.4449687608429366,0.1320084204318191,0.8847443351780196,0.578919543999973,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w70_30,100,0.7866159349000815,0.8167237538875347,0.4455594588705207,0.1320742094819048,0.8847443351780196,0.704311784312381,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w70_30,100,0.7865971521543101,0.8167079936118349,0.4455587191176165,0.132073852618083,0.8847484251827986,0.5570354438125946,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w80_20,100,0.7865620236874183,0.8170074388501303,0.4442794108875569,0.1317576716007334,0.882959294115137,0.4235172498749762,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200_twopl_hybrid_w90_10,100,0.7865574222366098,0.8179793225182819,0.4444388712753855,0.1319499301039615,0.8847484251827986,0.5422348303126228,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100_twopl_hybrid_w90_10,100,0.7865505148817761,0.8179793225182819,0.4444398211655153,0.1319503827333307,0.8847443351780196,0.5956301976873988,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t030_rp100_twopl_hybrid_w70_30,100,0.7865456218694592,0.816229931915609,0.4449362080706803,0.131848289827275,0.8829592983314191,0.4233018792500331,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp200_twopl_hybrid_w70_30,100,0.7865434204433314,0.8164032949483063,0.4457240128932046,0.1321325987749832,0.8840327350103765,0.5470149688125616,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w70_30,100,0.786523835413754,0.8162877195931747,0.4449122347779594,0.1318375844075609,0.8830430921398186,0.4218538755624763,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp200_twopl_hybrid_w70_30,100,0.786523835413754,0.8162877195931747,0.4449119907380529,0.1318374983937452,0.8830430335825615,0.4200172451249671,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp100_twopl_hybrid_w70_30,100,0.7865209934984253,0.816440068924939,0.4451797562101341,0.1319212515742636,0.8829336846868635,0.4199093639999489,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t025_rp200_twopl_hybrid_w70_30,100,0.7865165889882068,0.8164348154997058,0.4451795675108023,0.1319211860988972,0.8829344857782688,0.4213875402500946,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g16_t030_rp100_twopl_hybrid_w70_30,100,0.7865136985680852,0.8163507606959738,0.4452141864378551,0.1319344799112767,0.8829806030607393,0.4196043421874833,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g16_t030_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp100_twopl_hybrid_w80_20,100,0.7865082994424196,0.8172753635370261,0.4442551547586356,0.1317469828890176,0.8830431426797248,0.429412467500029,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp100/grouped_residual_irt_summary.csv
grouped_residual_irt_pca_quantile_g8_t025_rp200_twopl_hybrid_w80_20,100,0.7865065281873589,0.8172753635370261,0.4442548912858338,0.1317468903990463,0.8830430409034398,0.4187841718750462,reports/model_improvement_fasttext/grouped_residual_irt_focus_pca_twopl_chunks/g8_t025_rp200/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g64_t010_rp100_twopl_hybrid_w70_30,100,0.7864853508255434,0.8163244935698075,0.4457316319503104,0.1321355932848216,0.8839408345859723,0.6158789299374803,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200,100,0.7864542260318933,0.8179425485416492,0.4439681301402245,0.1318995954019051,0.8847484251827986,0.4541902121875409,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp200,100,0.7864542260318933,0.8179425485416492,0.4439681301402245,0.1318995954019051,0.8847484251827986,0.5291587236874875,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100,100,0.7864485748270532,0.8179320416911826,0.4439691834994427,0.1319000948815084,0.8847443351780196,0.4551220461250693,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp100,100,0.7864485748270532,0.8179320416911826,0.4439691834994427,0.1319000948815084,0.8847443351780196,0.5652611850623543,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor_twopl_ens/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t010_rp300,100,0.7864455208672472,0.8179320416911826,0.4439685315490194,0.1318996926171488,0.8847519627603718,0.4369995333750012,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t015_rp100,100,0.786425540871727,0.8178269731865176,0.4440412581421867,0.1319283752892824,0.8847586429422964,0.4334007498125629,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t015_rp300,100,0.7864131349558046,0.8178427334622174,0.4440316903916651,0.131924531356366,0.8847485617440837,0.4352321911249532,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g16_t015_rp200,100,0.7864108100508196,0.8178322266117508,0.4440340722898254,0.1319255136950618,0.8847508758232729,0.4342935310000086,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g32_t010_rp300,100,0.7863975595712663,0.8177901992098848,0.4440606701259989,0.1319324677626084,0.8844286462228959,0.4373990886250567,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
grouped_residual_irt_anchor_cosine_g32_t010_rp200,100,0.786381774638988,0.8177481718080188,0.4440762425909194,0.1319385316363846,0.8844122726898316,0.437039753187463,reports/model_improvement_fasttext/grouped_residual_irt_focus_anchor/grouped_residual_irt_summary.csv
